id,domanda,risposta_a,risposta_b,risposta_c,risposta_d,corretta,macrocategoria,is_situazionale,efficace_alta,efficace_neutra,efficace_bassa,created_at,deleted_globally,risposta_e
1778789460875-1,"Quali sono i due tipi di accesso accomunati dal diffuso riconoscimento in capo a chiunque, indipendentemente dalla titolarità di una situazione giuridica soggettiva connessa alla richiesta di accesso?",Accesso civico e accesso documentale.,Accesso documentale e accesso generalizzato.,Accesso civico e accesso generalizzato.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-10,L'articolo 3 della Legge n. 241/1990 stabilisce che:,"Ogni provvedimento amministrativo, compresi quelli concernenti l'organizzazione amministrativa, con la sola esclusione di quelli concernenti lo svolgimento dei pubblici concorsi, deve essere motivato.","Ogni provvedimento amministrativo, esclusi quelli concernenti l'organizzazione amministrativa, lo svolgimento dei pubblici concorsi ed il personale, deve essere motivato.","Ogni provvedimento amministrativo, compresi quelli concernenti l'organizzazione amministrativa, lo svolgimento dei pubblici concorsi ed il personale, deve essere motivato.",,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-11,"L'espressione situazioni giuridiche soggettive designa le posizioni dei soggetti all'interno di un rapporto giuridico, che possono essere di vantaggio (situazioni attive) e di svantaggio (situazioni passive). Appartengono alle situazioni giuridiche di svantaggio:",Obbligo - Soggezione.,Aspettative - Obbligo.,Facoltà - Aspettative.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-12,"Ai sensi dell'art. 3 co. 1 della legge n. 150/2000, quali tempi sono riservati alla trasmissione di messaggi di pubblico interesse o di utilità sociale?",Quelli non eccedenti il quattro per cento di ogni ora di programmazione e il sei per cento dell'orario settimanale di programmazione di ciascuna rete.,Quelli non eccedenti l'uno per cento di ogni ora di programmazione e il due per cento dell'orario settimanale di programmazione di ciascuna rete.,Quelli non eccedenti il due per cento di ogni ora di programmazione e l'uno per cento dell'orario settimanale di programmazione di ciascuna rete.,,C,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-13,"Le emittenti private, radiofoniche e televisive, possono trasmettere messaggi di utilità sociale ovvero di pubblico interesse come definiti dalla legge n. 150/2000?","No, tali trasmissioni sono riservate alla concessionaria del servizio pubblico radiotelevisivo.","Sì, applicando una tariffa non superiore al trenta per cento del prezzo di listino ufficiale indicato dalla concessionaria.","Sì, con le modalità previste dalla stessa legge.",,C,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-14,"Ai sensi dell'art. 13 co. 2 della legge n. 150/2000, i progetti di comunicazione devono specificare la strategia di diffusione?",No.,È facoltativo.,Sì.,,C,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-15,"Complete the sentence by using one of the options given: The English language is ________ by people in the United Kingdom, the United States, Australia, Canada and other countries.",Speak.,Spoke.,Spoken.,,C,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-16,Complete the sentence by using one of the options given: Sally says she is ______ interested in the job.,No.,Not.,None.,,B,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-17,Cos'è Canva?,Una sfida social che consiste nel chiedere a tutti gli utenti di partecipare condividendo la loro risposta alla sfida.,Un tool online gratuito che consente di creare prodotti grafici e immagini per la condivisione dei contenuti sui social network.,Un servizio che consente di intavolare una conversazione online tra due utenti.,,B,Uso_delle_tecnologie,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-18,Secondo la definizione degli studiosi Boyd e Ellison si possono definire social network sites quei servizi web che:,Permettono di vedere e consultare la propria lista di amici e di poter interagire e comunicare con una parte di essi.,Permettono di gestire un profilo unicamente pubblico.,Permettono di gestire e rinsaldare online amicizie preesistenti o di estendere la propria rete di contatti.,,C,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-19,"Con quale acronimo è comunemente indicata l'espressione social network, solitamente utilizzata per indicare lo strumento usato per creare e mantenere le reti virtuali e le comunità online?",SNS.,SMS.,SET.,,A,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-2,"In applicazione di quale principio, previsto all'art. 5 GDPR, i dati personali devono essere conservati in una forma che consenta l'identificazione degli interessati per un arco di tempo non superiore al conseguimento delle finalità per le quali sono trattati?",Limitazione della conservazione.,Esattezza.,Minimizzazione dei dati.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-20,"Quattro maestre si incontrano nella sala professori della scuola in cui lavorano e si raccontano come è andata la giornata. Melissa ha corretto il doppio dei compiti corretti da Angela, Angela a sua volta ne ha corretti 4 in meno rispetto all'amica e collega Federica, che ne ha corretti 10 in più rispetto a Gaia. Complessivamente le 4 insegnanti hanno corretto 88 compiti in classe. Individuare l'affermazione corretta:",Melissa ha corretto 34 compiti.,Gaia ha corretto 12 compiti.,Federica ha corretto 18 compiti.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-21,Individuare il termine che completa logicamente la proporzione: baratto sta a bagatto come vistare sta a..?..,Vietare.,Vincere.,Vietnam.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-22,"Di due ruote di uno stesso ingranaggio, la più grande compie 27 giri al minuto, la più piccola compie 6 giri per ogni giro della prima. Quanti giri compie ogni ruota in 16 minuti?","La grande 531 giri, la piccola 3.186 giri.","La grande 435 giri, la piccola 2.610 giri.","La grande 432 giri, la piccola 2.592 giri.",,C,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-23,..?.. sta a Europa come Giappone sta a ..?..,Europei - Asiatici.,Francia - Asia.,Italia - Giapponesi.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-24,"Se tra 104 lavoratori di un comune, 78 sono impiegati e 26 sono dirigenti, la percentuale di dirigenti è del:",25%.,35%.,15%.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-25,"Chi riversa il proprio affetto su una persona dalla quale verrà poi ripagato con l'ingratitudine e il tradimento, si dice che...",Alleva una serpe in seno.,Nutre un figliol prodigo.,Sceglie il certo per l'incerto.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-26,In una fabbrica lavorano 70 persone tra impiegati e operai. Calcolare quanti sono gli impiegati e quanti gli operai sapendo che gli impiegati sono 1/5 del personale.,Gli impiegati sono 15 e gli operai 55.,Gli impiegati sono 14 e gli operai 56.,Gli impiegati sono 13 e gli operai 57.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-27,"Ad un tavolo tondo siedono: Berto, Livio, Sofia, Guido e Fabio. Se Berto non è accanto a Guido e Livio è tra Sofia e Berto, di conseguenza Fabio:",Non può sedere accanto a Berto.,Siede tra Berto e Guido.,Siede subito a sinistra di Sofia.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-28,Il linguista russo Roman Jakobson ha schematizzato sei fattori della comunicazione verbale a cui corrispondono altrettante funzioni del linguaggio. Qual è quella riferita al codice?,La funzione metalinguistica.,La funzione emotiva.,La funzione referenziale.,,A,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-29,La qualità della comunicazione pubblica riguarda anche la responsabilità del risultato conseguito da un'organizzazione pubblica sulla base di capacità ed etica. Con quale termine viene solitamente indicata tale responsabilità?,Knowledge.,Consciousness.,Accountability.,,C,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-3,Dati relativi all'orientamento sessuale della persona - Dati biometrici. In base a quanto previsto nel GDPR:,Sono entrambi dati rientranti in particolari categorie.,"I primi (orientamento sessuale) sono dati rientranti in particolari categorie, i secondi (biometrici) sono dati identificativi.","I primi (orientamento sessuale) sono dati identificativi, i secondi (biometrici) sono dati rientranti in particolari categorie.",,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-30,"Quale tipologia di comunicazione istituzionale ha caratteristiche di velocità, connettività universale, bassi costi ed interattività?",Le relazioni pubbliche.,La comunicazione istituzionale on-line.,Il marketing.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-31,"Le 5 W, da utilizzare in un pezzo ma anche spesso in un comunicato stampa, sono considerate la regola di base e irrinunciabile dello stile giornalistico, di derivazione anglosassone. Stanno per:","Wafer, Waffle, Whisky, Won-ton, Würstel.","Who, What, Where, When, Why.","Watt, Wattmetro, Wattometro, Wattora, Wattsecondo.",,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-32,"Quale tra i seguenti è un magazine aziendale, quasi sempre realizzato dall'ufficio stampa o comunque sotto la sua supervisione?",Blog.,House organ.,Newsletter.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-33,"Una newsletter, quasi sempre realizzata dall'ufficio stampa o comunque sotto la sua supervisione, viene solitamente diffusa attraverso:",Un blog.,Una mailing list.,Un comunicato stampato.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-34,"L'art. 5 del D.Lgs. 33/2013 dispone che, nei casi di diniego totale o parziale dell'accesso o di mancata risposta entro il prescritto termine di conclusione del procedimento di accesso civico, il richiedente può presentare:",Richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza.,Ricorso gerarchico all'organo di vertice dell'amministrazione.,Ricorso in opposizione allo stesso organo dell'amministrazione.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-35,Con quale termine è identificato il programma che accede nel web attraverso lo stesso tipo di canali utilizzati dagli utenti e può inviare più messaggi in una chat per sostenere un'ideologia o diffamare un ente?,Bot.,Lead.,Meme.,,A,Uso_delle_tecnologie,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-36,"Quale differenza esiste, in termini di comunicazione, tra le comunità online iniziali e gli attuali social network sites (SNS)?","Le prime erano strutturate con l'individuo al centro della propria comunità, quelli attuali per argomenti o per gerarchie di argomenti.",Nessuna differenza.,"Le prime erano strutturate per argomenti o per gerarchie di argomenti, quelli attuali pongono l'individuo al centro della propria comunità.",,C,Teoria_Comunicazione,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-7,In quale barra nei sistemi operativi Windows è mostrato l'orologio di sistema?,Barra del titolo.,Barra delle applicazioni.,Barra multifunzione.,,B,Uso_delle_tecnologie,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-8,Quale delle seguenti formule di Excel calcola la media delle celle consecutive di una colonna?,MEDIA(A5:H5).,MEDIA(A1:G7).,MEDIA(A1:A5).,,C,Uso_delle_tecnologie,false,,,,2026-05-15 21:10:33.313064,false,
1778789460875-9,"In base all'art. 63 del decreto legislativo 165/2001 e ss.mm.ii, è corretto affermare che le controversie concernenti l'assunzione al lavoro, il conferimento e la revoca degli incarichi dirigenziali e la responsabilità dirigenziale, nonché quelle concernenti le indennità di fine rapporto, sono di competenza del giudice amministrativo in sede di giurisdizione esclusiva qualora vengano in questione atti amministrativi presupposti?","No, esse sono di competenza del giudice amministrativo, ma in sede di giurisdizione di legittimità.","No, esse sono devolute al giudice ordinario, in funzione di giudice del lavoro, ancorché vengano in questione atti amministrativi presupposti.",Sì.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-37,"Secondo Alessandro Rovinetti, ogni attività di comunicazione pubblica deve ricollegarsi a due questioni di fondo:","La coerenza, e non la continuità, del processo che la comunicazione aziona; la legittimazione dell'azione politico-amministrativa che deve venire dal sistema dei media e non dall'ente.",La continuità e la coerenza del processo che la comunicazione aziona; la legittimazione dell'azione politico-amministrativa che deve venire dall'ente e non dal sistema dei media.,"La continuità, ma non la coerenza, del processo che la comunicazione aziona; la legittimazione dell'azione politico-amministrativa che deve venire dal sistema dei media e non dall'ente.",,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-38,"In base alle disposizioni dell'articolo 55-bis del D.Lgs. 165/2001, quale sanzione disciplinare si applica al dipendente pubblico in caso di falsa attestazione della presenza in servizio, mediante l'alterazione dei sistemi di rilevamento della presenza o con altre modalità fraudolente, ovvero giustificazione dell'assenza dal servizio mediante una certificazione medica falsa o che attesta falsamente uno stato di malattia?",La sanzione disciplinare del licenziamento con preavviso.,La sanzione disciplinare del licenziamento senza preavviso.,La sanzione disciplinare della sospensione dal servizio con privazione della retribuzione fino ad un massimo di dodici mesi.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-39,Il rapporto di lavoro dei dipendenti delle amministrazioni pubbliche è disciplinato:,Secondo le disposizioni dell'art. 2 commi 2 e 3 e dell'art. 3 comma 1 del D.Lgs. n. 165/2001. La legge n. 300/1970 si applica solo alle amministrazioni centrali dello Stato.,Esclusivamente dalle disposizioni contenute nel codice civile. La legge n. 300/1970 si applica alle P.A. a prescindere dal numero dei dipendenti.,Secondo le disposizioni dell'art. 2 commi 2 e 3 e dell'art. 3 comma 1 del D.Lgs. n. 165/2001. La legge n. 300/1970 si applica alle P.A. a prescindere dal numero dei dipendenti.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-40,Complete the sentence by using one of the options given: Paul really liked the new book he bought. He didn't know what was going to happen ________.,Later.,Before.,Next.,,C,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-41,Complete the sentence by using one of the options given: There ________ some books and CDs on the desk.,Is.,Are.,Being.,,B,Inglese,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-42,"Nella stesura di un comunicato stampa, qual è la grandezza ideale del corpo da utilizzare per il testo?",18 o 20.,12 o 14.,24 o 28.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-43,Esiste una fascia oraria ideale per inviare comunicati stampa?,Prima delle 10.,Tra le 11 e le 16.,La notte.,,A,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-44,In quale scheda della barra multifunzione di Microsoft Excel è possibile cambiare l'orientamento della pagina?,Stampa.,In Microsoft Excel non esiste il concetto di pagina e di conseguenza non è possibile impostare un orientamento di pagina.,Layout di Pagina.,,C,Uso_delle_tecnologie,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-48,Con quale termine si indica la diffusione di una quantità eccessiva di informazioni che determina disorientamento nell'utenza?,Junkmail.,Infodemia.,Spamming.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-49,"Ai sensi dell'art. 1 co. 4 lettera c della legge n. 150/2000, le attività di informazione e comunicazione istituzionale sono volte a conseguire:","La comunicazione esterna rivolta ai soli cittadini, con esclusione delle collettività e degli altri enti attraverso ogni modalità tecnica ed organizzativa.",La comunicazione interna realizzata nell'ambito di ciascun ente.,"L'informazione ai dipendenti, attraverso newsletter, audiovisivi e strumenti telematici.",,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-50,"Ai sensi dell'art. 1 co. 5 della legge n. 150/2000, le attività di informazione e di comunicazione delle pubbliche amministrazioni sono, in particolare, finalizzate a:","Favorire processi interni di semplificazione delle procedure e di modernizzazione degli apparati, ma non della conoscenza dell'avvio e del percorso dei procedimenti amministrativi.","Favorire processi interni di semplificazione delle procedure e di modernizzazione degli apparati, nonché la conoscenza dell'avvio e del percorso dei procedimenti amministrativi.",Agevolare l'entità e i percorsi procedurali dei procedimenti amministrativi per il personale interno.,,B,Comunicazione_Istituzionale,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-51,"Il GDPR distingue tra dati che permettono l'identificazione diretta o indiretta, dati rientranti in particolari categorie, dati relativi a condanne penali e reati. Il codice fiscale e l'indirizzo IP sono:",Dati rientranti in particolari categorie.,Dati che permettono l'identificazione indiretta.,Dati che permettono l'identificazione diretta.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-52,Quale dei seguenti numeri integra la serie? 4 - 8 - ... - 9 - 6 - 10.,5.,9.,6.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-53,"Se L=24, E=5, D=56, B=72, T=3, quanto vale (D+B+L)/(E+T)?",17.,21.,19.,,C,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778789460876-54,"Un tuo collaboratore appare particolarmente stressato da un po' di tempo, nonostante tu non abbia colto particolari e significativi cambiamenti delle condizioni di lavoro, cosa fai?","Niente, evidentemente non è in mio potere risolvere questa situazione.",Cerco di capire quali elementi a livello organizzativo e quali risorse personali dell'individuo possano essere sviluppate e migliorate.,"Riassegno le attività, facendo in modo che i carichi di lavoro siano più equilibrati nel gruppo.",,,Situazionali,true,B,C,A,2026-05-15 21:10:33.313064,false,
1778789460876-55,"Durante un briefing nel quale stai presentando un nuovo progetto molto ambizioso, un tuo collaboratore si mostra estremamente scettico e critico e davanti agli altri non nasconde la propria contrarietà a portare avanti quell'idea. Che fai?","Nel briefing eviti un confronto diretto, ma in separata sede cerchi di convincerlo della bontà del progetto.","Lo affronti apertamente nel corso del briefing, facendo notare che le innovazioni spaventano sempre ma che nel tuo gruppo non c'è spazio per i signor no.","Gli chiedi di appuntarsi tutti i punti per lui critici e prometti che dedicherai uno spazio apposito alla fine del briefing o in un'altra occasione, affinché ogni aspetto individuato venga esaminato attentamente.",,,Situazionali,true,C,A,B,2026-05-15 21:10:33.313064,false,
1778789460876-56,"Spesso alcuni manager di altre funzioni ti telefonano lamentandosi del comportamento poco collaborativo dei tuoi colleghi, quando invece c'è necessità di unire le informazioni e di collaborare per migliorare il servizio.","Mi pare che le relazioni della mia unità organizzativa con le altre siano nelle regole aziendali, vedremo volta per volta quando ci sarà un problema come relazionarci con le altre Funzioni.","Appena terminato quei due progetti urgenti che dobbiamo ultimare per fine mese, prenderò il tempo per parlarne con i miei colleghi.","A me sembra che siano obiezioni dettate più dall'invidia, perché anche quest'anno abbiamo ricevuto l'encomio e le gratifiche di squadra per i risultati ottenuti.",,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
1778789460876-57,Ogni tanto i colleghi più giovani manifestano insofferenza perché non ritengono di essere sufficientemente aiutati e supportati dalle risorse più anziane e con maggiore esperienza.,"Si sa, è normale, gli anziani si tengono ben strette le loro conoscenze; i giovani non sono, nei fatti, tanto disposti ad ascoltare i loro colleghi cresciuti in contesti diversi da oggi.",Parlerò con i colleghi con più esperienza di lavoro per coinvolgerli nella formazione dei più giovani.,"Non mi sembra un problema tanto urgente, vedrò in futuro di prendere una decisione in proposito, se i colleghi giovani mi faranno presente nuovamente la loro situazione.",,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
1778789460876-58,"Un tuo collaboratore viene spesso accusato di essere poco disponibile quando ci sono scadenze e lavori urgenti da portare a termine, tu sai che ha due figli piccoli.","Lo rimproveri, anche davanti agli altri, perché è un comportamento poco rispettoso nei confronti dei colleghi. Tutti hanno le loro difficoltà, ma le urgenze richiedono impegno e dedizione.","Lo convochi e cerchi di fargli capire che comprendi pienamente la sua situazione, ma anche i colleghi non hanno tutti i torti: la sua scarsa disponibilità aggrava il lavoro sul resto del gruppo.",Presumi che in questa fase della vita abbia necessità di una maggiore flessibilità e provi a proporre lo smart working per una migliore gestione degli impegni di lavoro e di quelli familiari.,,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778789460876-59,"Volendo supportare una collega evidentemente sotto stress, cosa potresti fare?","Ritengo che un intervento diretto possa sembrare poco opportuno, quindi penso sia meglio segnalare il suo caso al RSPP o alle Risorse Umane.",Consigliarle un periodo di riposo per ripristinare il giusto equilibrio mentale ed emotivo.,"Capire insieme a lei cosa ha provocato questa condizione di stress, quindi aiutarla a stabilire delle priorità di intervento.",,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778789460876-60,"Una mia collega (peer) ha un carattere dominante, vuole sempre avere l'ultima parola su un progetto ed è molto competitiva per quanto riguarda il raggiungimento dei risultati. La devo affrontare per una questione spinosa, che strategie adotterò?","Mi faccio vedere sicuro di me e se tenterà di aggredirmi, anche io mi farò vedere sufficientemente pronto allo scontro.","Vado al nocciolo del problema, mantengo il focus sull'obiettivo da raggiungere e cerco di assumere un atteggiamento cordiale ma fermo. Cerco di renderla partecipe nella soluzione del problema.",Utilizzo argomenti informali (es. cosa ha fatto lo scorso weekend) per preparare il terreno alla conversazione che dovremo affrontare.,,,Situazionali,true,B,C,A,2026-05-15 21:10:33.313064,false,
1778789460876-61,"Nel tuo team c'è una ragazza di origini egiziane che indossa il velo, è una persona molto talentuosa ma fatica ad integrarsi nel gruppo.","Favorisci dei momenti informali di incontro tra colleghi, ad esempio un pranzo insieme.","Dato che conosci altre donne egiziane che vivono in Italia e non indossano il velo, provi a suggerire di toglierlo perché evidentemente ci sono ancora troppi pregiudizi e questo accessorio non la sta aiutando ad integrarsi.",Preferisci lasciar correre per il momento perché non vuoi mettere in imbarazzo lei né costringere i tuoi collaboratori ad integrarla nel gruppo.,,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
1778789460876-62,"Non ti senti pienamente soddisfatto dei risultati raggiunti dalla tua Funzione, nonostante che tu abbia raggiunto gli obiettivi, e vuoi intervenire per trovare il modo di migliorarli.","Mi complimento con i collaboratori del risultato conseguito, risultato comunque buono anche se coerente con gli obiettivi assegnati, nonostante la situazione economica sfavorevole di questi tempi.","Mi complimento con i collaboratori, ma potevamo fare di più, considerate le potenzialità della mia squadra.","Mi complimento con i collaboratori per gli obiettivi raggiunti, ma abbiamo le potenzialità per fare di più e lo dimostreremo sicuramente sulla prossima campagna obiettivi.",,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778790458591-1,"Nelle riunioni settimanali con altri dirigenti, spesso ti sei trovato a scontrarti con un Dirigente che si focalizza sui suoi compiti e non ha una visione d'insieme del processo produttivo e della necessità di reciproca sinergia. Quali modalità intendi seguire per arrivare ad una collaborazione proficua e reciprocamente soddisfacente?",Chiedi un incontro e cerchi di dimostrargli che un atteggiamento ostile provoca danni e non fa progredire nessuna delle due funzioni organizzative. Collaborare è l'unica strada.,Chiedi all'altro dirigente la possibilità di un incontro. Memorizzi e ragioni sulle sue obbiezioni ai tavoli e per ciascuna trovi una risposta o chiederai un approfondimento in sede di incontro. Metterai in evidenza il legame stretto del risultato dell'intero dipartimento dalla vostra reciproca collaborazione.,Chiedi un incontro con il tuo collega. Gli dici chiaramente che il suo atteggiamento non ti piace e che siamo tutti sulla stessa barca.,,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
1778790458591-2,"Eri sicuro che il tuo capo ti avrebbe assegnato quell’incarico di lavoro, ritenevi di averne le competenze e l’esperienza per realizzare un buon risultato, invece quell’incarico è stato assegnato a un altro manager, per te privo della professionalità necessaria","Prima possibile parlerò con il mio capo, per dimostrarmi interessato ad incarichi più importanti.","Se il capo ha deciso così, vedrò in futuro se si comporterà nella stessa maniera, oppure mi darà anche a me un'opportunità per assumere un incarico più importante.","Chiedo chiarimenti in proposito, perché quell’incarico era proprio adeguato alle mie capacità professionali e non ritengo di avere una professionalità inferiore ad altri colleghi.",,,Situazionali,true,A,B,C,2026-05-15 21:10:33.313064,false,
1778790458591-3,Non sei soddisfatto di come il tuo capo ti comunica i tuoi punti di forza e i punti da migliorare.,"Forse è una mia impressione, per ora preferisco non sollevare la questione, del resto il mio capo non mi ha fatto nessun rilievo.","Nonostante che sia molto impegnato nel lavoro, voglio trovare quanto prima il momento di parlarne con il mio capo e chiarire i miei dubbi.","Aspetto l’occasione opportuna per parlarne, tanto prima o poi capiterà.",,,Situazionali,true,B,C,A,2026-05-15 21:10:33.313064,false,
1778790458591-4,"Come è noto, il vertice politico di una Amministrazione all'inizio del mandato manifesta prospettive di cambiamento e modifica rispetto a quanto operato nel passato. In una fase di primo approccio come conquistare subito la sua fiducia e contemporaneamente fargli riconoscere la tua professionalità?",Il primo incontro deve vertere anzitutto su di un bilancio oggettivo della gestione precedente con punti di forza ed aree di miglioramento sulle quali far vedere un ventaglio di soluzioni possibili che hai elaborato.,Nel primo appuntamento con chi ricopre funzione apicale dichiari di essere a completa disposizione ed attendi orientamenti e linee-guida.,Nell'incontro all'inizio devi dichiarare che hai ben compreso la necessità di dare una svolta rispetto alla gestione precedente e che hai delle idee in tal senso che avrai cura di delineare.,,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
